data,cidade,objetivo,criativo,impressoes,cliques,gastos,leads
2025-06-01,Limoeiro do Norte,Tráfego,Vídeo 3,107,1,0.87,0
2025-06-01,Limoeiro do Norte,Tráfego,Imagem 1,125,1,0.88,0
2025-06-01,Limoeiro do Norte,Tráfego,Imagem 2,140,2,2.39,0
2025-06-01,Limoeiro do Norte,Engajamento,Vídeo 1,143,4,3.73,0
2025-06-01,Limoeiro do Norte,Engajamento,Vídeo 2,309,4,2.34,0
2025-06-01,Limoeiro do Norte,Engajamento,Vídeo 3,153,0,0.0,0
2025-06-01,Limoeiro do Norte,Engajamento,Imagem 1,144,2,1.97,0
2025-06-01,Limoeiro do Norte,Engajamento,Imagem 2,292,7,4.73,0
2025-06-01,Limoeiro do Norte,Leads,Vídeo 1,90,0,0.0,0
2025-06-01,Limoeiro do Norte,Leads,Vídeo 2,106,1,0.29,0
2025-06-01,Limoeiro do Norte,Leads,Vídeo 3,110,1,1.29,0
2025-06-01,Limoeiro do Norte,Leads,Imagem 1,41,0,0.0,0
2025-06-01,Limoeiro do Norte,Leads,Imagem 2,79,0,0.0,0
2025-06-01,Sobral,Alcance,Vídeo 1,95,0,0.0,0
2025-06-01,Sobral,Alcance,Vídeo 2,158,0,0.0,0
2025-06-01,Sobral,Alcance,Vídeo 3,149,1,0.86,0
2025-06-01,Sobral,Alcance,Imagem 1,233,1,0.76,0
2025-06-01,Sobral,Alcance,Imagem 2,186,0,0.0,0
2025-06-01,Sobral,Tráfego,Vídeo 1,98,1,0.27,0
2025-06-01,Sobral,Tráfego,Vídeo 2,52,0,0.0,0
2025-06-01,Sobral,Tráfego,Vídeo 3,98,2,1.73,0
2025-06-01,Sobral,Tráfego,Imagem 1,121,0,0.0,0
2025-06-01,Sobral,Tráfego,Imagem 2,79,1,0.83,0
2025-06-01,Sobral,Engajamento,Vídeo 1,38,0,0.0,0
2025-06-01,Sobral,Engajamento,Vídeo 2,44,0,0.0,0
2025-06-01,Sobral,Engajamento,Vídeo 3,27,0,0.0,0
2025-06-01,Sobral,Engajamento,Imagem 1,28,0,0.0,0
2025-06-01,Sobral,Engajamento,Imagem 2,30,0,0.0,0
2025-06-01,Sobral,Leads,Vídeo 1,62,1,0.85,0
2025-06-01,Sobral,Leads,Vídeo 2,76,0,0.0,0
2025-06-01,Sobral,Leads,Vídeo 3,90,1,1.09,0
2025-06-01,Sobral,Leads,Imagem 1,81,0,0.0,0
2025-06-01,Sobral,Leads,Imagem 2,29,0,0.0,0
2025-06-01,Juazeiro do Norte,Alcance,Vídeo 1,512,5,5.97,0
2025-06-01,Juazeiro do Norte,Alcance,Vídeo 2,450,1,0.31,0
2025-06-01,Juazeiro do Norte,Alcance,Vídeo 3,497,1,0.37,0
2025-06-01,Juazeiro do Norte,Alcance,Imagem 1,377,0,0.0,0
2025-06-01,Juazeiro do Norte,Alcance,Imagem 2,592,2,2.62,0
2025-06-01,Juazeiro do Norte,Tráfego,Vídeo 1,300,6,6.04,0
2025-06-01,Juazeiro do Norte,Tráfego,Vídeo 2,279,3,1.65,0
2025-06-01,Juazeiro do Norte,Tráfego,Vídeo 3,237,4,5.8,0
2025-06-01,Juazeiro do Norte,Tráfego,Imagem 1,235,3,1.87,0
2025-06-01,Juazeiro do Norte,Tráfego,Imagem 2,346,3,1.66,0
2025-06-01,Juazeiro do Norte,Engajamento,Vídeo 1,301,7,5.71,0
2025-06-01,Juazeiro do Norte,Engajamento,Vídeo 2,373,5,3.23,0
2025-06-01,Juazeiro do Norte,Engajamento,Vídeo 3,492,12,6.19,0
2025-06-01,Juazeiro do Norte,Engajamento,Imagem 1,413,9,2.63,0
2025-06-01,Juazeiro do Norte,Engajamento,Imagem 2,467,6,6.1,0
2025-06-01,Juazeiro do Norte,Leads,Vídeo 1,137,0,0.0,0
2025-06-01,Juazeiro do Norte,Leads,Vídeo 2,322,2,2.08,0
2025-06-01,Juazeiro do Norte,Leads,Vídeo 3,150,1,0.44,0
2025-06-01,Juazeiro do Norte,Leads,Imagem 1,240,2,1.11,0
2025-06-01,Juazeiro do Norte,Leads,Imagem 2,264,3,1.94,0
2025-06-02,Fortaleza,Alcance,Vídeo 1,96,0,0.0,0
2025-06-02,Fortaleza,Alcance,Vídeo 2,140,0,0.0,0
2025-06-02,Fortaleza,Alcance,Vídeo 3,120,0,0.0,0
2025-06-02,Fortaleza,Alcance,Imagem 1,139,0,0.0,0
2025-06-02,Fortaleza,Alcance,Imagem 2,110,0,0.0,0
2025-06-02,Fortaleza,Tráfego,Vídeo 1,1072,20,13.36,0
2025-06-02,Fortaleza,Tráfego,Vídeo 2,899,11,1.87,0
2025-06-02,Fortaleza,Tráfego,Vídeo 3,461,2,1.32,0
2025-06-02,Fortaleza,Tráfego,Imagem 1,664,12,10.35,0
2025-06-02,Fortaleza,Tráfego,Imagem 2,617,9,1.53,0
2025-06-02,Fortaleza,Engajamento,Vídeo 1,801,8,8.84,0
2025-06-02,Fortaleza,Engajamento,Vídeo 2,716,13,12.39,0
2025-06-02,Fortaleza,Engajamento,Vídeo 3,1093,25,20.97,0
2025-06-02,Fortaleza,Engajamento,Imagem 1,560,7,7.08,0
2025-06-02,Fortaleza,Engajamento,Imagem 2,483,8,4.98,0
2025-06-02,Fortaleza,Leads,Vídeo 1,767,12,7.36,0
2025-06-02,Fortaleza,Leads,Vídeo 2,641,5,3.16,0
2025-06-02,Fortaleza,Leads,Vídeo 3,776,11,5.4,0
2025-06-02,Fortaleza,Leads,Imagem 1,879,12,10.66,0
2025-06-02,Fortaleza,Leads,Imagem 2,1090,7,2.76,0
2025-06-02,Crato,Alcance,Vídeo 1,46,0,0.0,0
2025-06-02,Crato,Alcance,Vídeo 2,72,0,0.0,0
2025-06-02,Crato,Alcance,Vídeo 3,74,0,0.0,0
2025-06-02,Crato,Alcance,Imagem 1,109,0,0.0,0
2025-06-02,Crato,Alcance,Imagem 2,59,0,0.0,0
2025-06-02,Crato,Tráfego,Vídeo 1,86,0,0.0,0
2025-06-02,Crato,Tráfego,Vídeo 2,62,0,0.0,0
2025-06-02,Crato,Tráfego,Vídeo 3,32,0,0.0,0
2025-06-02,Crato,Tráfego,Imagem 1,40,0,0.0,0
2025-06-02,Crato,Tráfego,Imagem 2,98,1,0.35,0
2025-06-02,Crato,Engajamento,Vídeo 1,54,0,0.0,0
2025-06-02,Crato,Engajamento,Vídeo 2,55,1,1.47,0
2025-06-02,Crato,Engajamento,Vídeo 3,79,1,0.49,0
2025-06-02,Crato,Engajamento,Imagem 1,104,1,0.86,0
2025-06-02,Crato,Engajamento,Imagem 2,58,1,0.8,0
2025-06-02,Crato,Leads,Vídeo 1,43,0,0.0,0
2025-06-02,Crato,Leads,Vídeo 2,41,0,0.0,0
2025-06-02,Crato,Leads,Vídeo 3,76,0,0.0,0
2025-06-02,Crato,Leads,Imagem 1,72,0,0.0,0
2025-06-02,Crato,Leads,Imagem 2,46,0,0.0,0
2025-06-02,Russas,Alcance,Vídeo 1,93,0,0.0,0
2025-06-02,Russas,Alcance,Vídeo 2,57,0,0.0,0
2025-06-02,Russas,Alcance,Vídeo 3,82,0,0.0,0
2025-06-02,Russas,Alcance,Imagem 1,82,0,0.0,0
2025-06-02,Russas,Alcance,Imagem 2,91,0,0.0,0
2025-06-02,Russas,Tráfego,Vídeo 1,56,0,0.0,0
2025-06-02,Russas,Tráfego,Vídeo 2,79,1,0.7,0
2025-06-02,Russas,Tráfego,Vídeo 3,81,0,0.0,0
2025-06-02,Russas,Tráfego,Imagem 1,33,0,0.0,0
2025-06-02,Russas,Tráfego,Imagem 2,94,0,0.0,0
2025-06-02,Russas,Engajamento,Vídeo 1,54,0,0.0,0
2025-06-02,Russas,Engajamento,Vídeo 2,55,1,0.91,0
2025-06-02,Russas,Engajamento,Vídeo 3,58,1,0.85,0
2025-06-02,Russas,Engajamento,Imagem 1,60,0,0.0,0
2025-06-02,Russas,Engajamento,Imagem 2,68,1,0.81,0
2025-06-02,Russas,Leads,Vídeo 1,58,0,0.0,0
2025-06-02,Russas,Leads,Vídeo 2,55,0,0.0,0
2025-06-02,Russas,Leads,Vídeo 3,25,0,0.0,0
2025-06-02,Russas,Leads,Imagem 1,56,0,0.0,0
2025-06-02,Russas,Leads,Imagem 2,68,0,0.0,0
2025-06-02,Beberibe,Alcance,Vídeo 1,40,0,0.0,0
2025-06-02,Beberibe,Alcance,Vídeo 2,37,0,0.0,0
2025-06-02,Beberibe,Alcance,Vídeo 3,68,0,0.0,0
2025-06-02,Beberibe,Alcance,Imagem 1,60,0,0.0,0
2025-06-02,Beberibe,Alcance,Imagem 2,63,0,0.0,0
2025-06-02,Beberibe,Tráfego,Vídeo 1,87,1,0.64,0
2025-06-02,Beberibe,Tráfego,Vídeo 2,89,2,1.33,0
2025-06-02,Beberibe,Tráfego,Vídeo 3,138,2,1.37,0
2025-06-02,Beberibe,Tráfego,Imagem 1,107,1,1.09,0
2025-06-02,Beberibe,Tráfego,Imagem 2,47,0,0.0,0
2025-06-02,Beberibe,Engajamento,Vídeo 1,57,1,0.42,0
2025-06-02,Beberibe,Engajamento,Vídeo 2,53,1,1.07,0
2025-06-02,Beberibe,Engajamento,Vídeo 3,63,1,1.04,0
2025-06-02,Beberibe,Engajamento,Imagem 1,47,0,0.0,0
2025-06-02,Beberibe,Engajamento,Imagem 2,51,1,0.44,0
2025-06-02,Beberibe,Leads,Vídeo 1,42,0,0.0,0
2025-06-02,Beberibe,Leads,Vídeo 2,32,0,0.0,0
2025-06-02,Beberibe,Leads,Vídeo 3,27,0,0.0,0
2025-06-02,Beberibe,Leads,Imagem 1,28,0,0.0,0
2025-06-02,Beberibe,Leads,Imagem 2,27,0,0.0,0
2025-06-02,Massapê,Alcance,Vídeo 1,53,0,0.0,0
2025-06-02,Massapê,Alcance,Vídeo 2,98,0,0.0,0
2025-06-02,Massapê,Alcance,Vídeo 3,136,1,0.75,0
2025-06-02,Massapê,Alcance,Imagem 1,83,0,0.0,0
2025-06-02,Massapê,Alcance,Imagem 2,80,0,0.0,0
2025-06-02,Massapê,Tráfego,Vídeo 1,29,0,0.0,0
2025-06-02,Massapê,Tráfego,Vídeo 2,40,0,0.0,0
2025-06-02,Massapê,Tráfego,Vídeo 3,28,0,0.0,0
2025-06-02,Massapê,Tráfego,Imagem 1,40,0,0.0,0
2025-06-02,Massapê,Tráfego,Imagem 2,45,0,0.0,0
2025-06-02,Massapê,Engajamento,Vídeo 1,136,2,1.39,0
2025-06-02,Massapê,Engajamento,Vídeo 2,64,1,0.66,0
2025-06-02,Massapê,Engajamento,Vídeo 3,106,3,2.04,0
2025-06-02,Massapê,Engajamento,Imagem 1,59,1,0.69,0
2025-06-02,Massapê,Engajamento,Imagem 2,93,1,0.36,0
2025-06-02,Massapê,Leads,Vídeo 1,165,1,0.74,0
2025-06-02,Massapê,Leads,Vídeo 2,117,1,1.1,0
2025-06-02,Massapê,Leads,Vídeo 3,172,1,0.6,0
2025-06-02,Massapê,Leads,Imagem 1,63,0,0.0,0
2025-06-02,Massapê,Leads,Imagem 2,165,1,0.95,0
2025-06-02,Limoeiro do Norte,Alcance,Vídeo 1,104,0,0.0,0
2025-06-02,Limoeiro do Norte,Alcance,Vídeo 2,93,0,0.0,0
2025-06-02,Limoeiro do Norte,Alcance,Vídeo 3,106,0,0.0,0
2025-06-02,Limoeiro do Norte,Alcance,Imagem 1,105,0,0.0,0
2025-06-02,Limoeiro do Norte,Alcance,Imagem 2,95,0,0.0,0
2025-06-02,Limoeiro do Norte,Tráfego,Vídeo 1,99,1,0.74,0
2025-06-02,Limoeiro do Norte,Tráfego,Vídeo 2,132,2,1.87,0
2025-06-02,Limoeiro do Norte,Tráfego,Vídeo 3,133,1,1.12,0
2025-06-02,Limoeiro do Norte,Tráfego,Imagem 1,156,3,2.3,0
2025-06-02,Limoeiro do Norte,Tráfego,Imagem 2,140,1,1.4,0
2025-06-02,Limoeiro do Norte,Engajamento,Vídeo 1,99,2,1.87,0
2025-06-02,Limoeiro do Norte,Engajamento,Vídeo 2,79,1,1.23,0
2025-06-02,Limoeiro do Norte,Engajamento,Vídeo 3,63,1,0.63,0
2025-06-02,Limoeiro do Norte,Engajamento,Imagem 1,124,1,0.68,0
2025-06-02,Limoeiro do Norte,Engajamento,Imagem 2,102,2,1.7,0
2025-06-02,Limoeiro do Norte,Leads,Vídeo 1,121,0,0.0,0
2025-06-02,Limoeiro do Norte,Leads,Vídeo 2,88,0,0.0,0
2025-06-02,Limoeiro do Norte,Leads,Vídeo 3,94,1,0.68,0
2025-06-02,Limoeiro do Norte,Leads,Imagem 1,48,0,0.0,0
2025-06-02,Limoeiro do Norte,Leads,Imagem 2,75,1,0.51,0
2025-06-02,Sobral,Alcance,Vídeo 1,96,0,0.0,0
2025-06-02,Sobral,Alcance,Vídeo 2,85,0,0.0,0
2025-06-02,Sobral,Alcance,Vídeo 3,99,0,0.0,0
2025-06-02,Sobral,Alcance,Imagem 1,104,0,0.0,0
2025-06-02,Sobral,Alcance,Imagem 2,106,0,0.0,0
2025-06-02,Sobral,Tráfego,Vídeo 1,114,1,0.37,0
2025-06-02,Sobral,Tráfego,Vídeo 2,77,0,0.0,0
2025-06-02,Sobral,Tráfego,Vídeo 3,59,0,0.0,0
2025-06-02,Sobral,Tráfego,Imagem 1,64,0,0.0,0
2025-06-02,Sobral,Tráfego,Imagem 2,91,1,0.98,0
2025-06-02,Sobral,Engajamento,Vídeo 1,64,1,0.46,0
2025-06-02,Sobral,Engajamento,Vídeo 2,95,2,1.53,0
2025-06-02,Sobral,Engajamento,Vídeo 3,66,1,0.19,0
2025-06-02,Sobral,Engajamento,Imagem 1,60,0,0.0,0
2025-06-02,Sobral,Engajamento,Imagem 2,60,1,1.05,0
2025-06-02,Sobral,Leads,Vídeo 1,90,1,1.14,0
2025-06-02,Sobral,Leads,Vídeo 2,78,0,0.0,0
2025-06-02,Sobral,Leads,Vídeo 3,86,1,1.05,0
2025-06-02,Sobral,Leads,Imagem 1,102,0,0.0,0
2025-06-02,Sobral,Leads,Imagem 2,82,1,0.61,0
2025-06-02,Juazeiro do Norte,Alcance,Vídeo 1,282,1,0.97,0
2025-06-02,Juazeiro do Norte,Alcance,Vídeo 2,381,1,0.82,0
2025-06-02,Juazeiro do Norte,Alcance,Vídeo 3,542,4,3.9,0
2025-06-02,Juazeiro do Norte,Alcance,Imagem 1,333,1,1.03,0
2025-06-02,Juazeiro do Norte,Alcance,Imagem 2,228,0,0.0,0
2025-06-02,Juazeiro do Norte,Tráfego,Vídeo 1,561,6,8.05,0
2025-06-02,Juazeiro do Norte,Tráfego,Vídeo 2,297,2,1.81,0
2025-06-02,Juazeiro do Norte,Tráfego,Vídeo 3,617,14,9.58,0
2025-06-02,Juazeiro do Norte,Tráfego,Imagem 1,622,7,5.44,0
2025-06-02,Juazeiro do Norte,Tráfego,Imagem 2,594,8,2.58,0
2025-06-02,Juazeiro do Norte,Engajamento,Vídeo 1,868,14,13.45,0
2025-06-02,Juazeiro do Norte,Engajamento,Vídeo 2,704,16,10.47,0
2025-06-02,Juazeiro do Norte,Engajamento,Vídeo 3,490,10,12.12,0
2025-06-02,Juazeiro do Norte,Engajamento,Imagem 1,713,11,11.91,0
2025-06-02,Juazeiro do Norte,Engajamento,Imagem 2,153,3,0.81,0
2025-06-02,Juazeiro do Norte,Leads,Vídeo 1,244,1,1.21,0
2025-06-02,Juazeiro do Norte,Leads,Vídeo 2,316,4,3.27,0
2025-06-02,Juazeiro do Norte,Leads,Vídeo 3,421,5,2.09,0
2025-06-02,Juazeiro do Norte,Leads,Imagem 1,478,3,0.99,0
2025-06-02,Juazeiro do Norte,Leads,Imagem 2,321,4,4.43,0
2025-06-03,Fortaleza,Alcance,Vídeo 1,555,3,2.68,0
2025-06-03,Fortaleza,Alcance,Vídeo 2,447,2,1.38,0
2025-06-03,Fortaleza,Alcance,Vídeo 3,321,1,0.75,0
2025-06-03,Fortaleza,Alcance,Imagem 1,416,1,0.98,0
2025-06-03,Fortaleza,Alcance,Imagem 2,333,1,0.17,0
2025-06-03,Fortaleza,Tráfego,Vídeo 1,544,10,1.7,0
2025-06-03,Fortaleza,Tráfego,Vídeo 2,801,10,10.95,0
2025-06-03,Fortaleza,Tráfego,Vídeo 3,339,5,2.26,0
2025-06-03,Fortaleza,Tráfego,Imagem 1,400,8,5.67,0
2025-06-03,Fortaleza,Tráfego,Imagem 2,525,8,7.3,0
2025-06-03,Fortaleza,Engajamento,Vídeo 1,443,17,12.71,0
2025-06-03,Fortaleza,Engajamento,Vídeo 2,423,12,13.13,0
2025-06-03,Fortaleza,Engajamento,Vídeo 3,541,14,5.95,0
2025-06-03,Fortaleza,Engajamento,Imagem 1,595,6,5.13,0
2025-06-03,Fortaleza,Engajamento,Imagem 2,309,5,4.31,0
2025-06-03,Fortaleza,Leads,Vídeo 1,473,8,7.2,0
2025-06-03,Fortaleza,Leads,Vídeo 2,389,6,6.71,0
2025-06-03,Fortaleza,Leads,Vídeo 3,265,3,2.92,0
2025-06-03,Fortaleza,Leads,Imagem 1,382,5,3.6,0
2025-06-03,Fortaleza,Leads,Imagem 2,436,4,3.08,0
2025-06-03,Crato,Alcance,Vídeo 1,22,0,0.0,0
2025-06-03,Crato,Alcance,Vídeo 2,95,0,0.0,0
2025-06-03,Crato,Alcance,Vídeo 3,107,0,0.0,0
2025-06-03,Crato,Alcance,Imagem 1,16,0,0.0,0
2025-06-03,Crato,Alcance,Imagem 2,32,0,0.0,0
2025-06-03,Crato,Tráfego,Vídeo 1,158,2,2.27,0
2025-06-03,Crato,Tráfego,Vídeo 2,166,2,1.77,0
2025-06-03,Crato,Tráfego,Vídeo 3,133,1,0.76,0
2025-06-03,Crato,Tráfego,Imagem 1,66,0,0.0,0
2025-06-03,Crato,Tráfego,Imagem 2,90,1,1.31,0
2025-06-03,Crato,Engajamento,Vídeo 1,64,0,0.0,0
2025-06-03,Crato,Engajamento,Vídeo 2,85,1,1.04,0
2025-06-03,Crato,Engajamento,Vídeo 3,86,1,0.41,0
2025-06-03,Crato,Engajamento,Imagem 1,99,1,0.32,0
2025-06-03,Crato,Engajamento,Imagem 2,137,2,2.07,0
2025-06-03,Crato,Leads,Vídeo 1,141,1,0.71,0
2025-06-03,Crato,Leads,Vídeo 2,104,1,0.87,0
2025-06-03,Crato,Leads,Vídeo 3,101,0,0.0,0
2025-06-03,Crato,Leads,Imagem 1,58,0,0.0,0
2025-06-03,Crato,Leads,Imagem 2,79,0,0.0,0
2025-06-03,Russas,Alcance,Vídeo 1,93,0,0.0,0
2025-06-03,Russas,Alcance,Vídeo 2,68,0,0.0,0
2025-06-03,Russas,Alcance,Vídeo 3,54,0,0.0,0
2025-06-03,Russas,Alcance,Imagem 1,73,0,0.0,0
2025-06-03,Russas,Alcance,Imagem 2,33,0,0.0,0
2025-06-03,Russas,Tráfego,Vídeo 1,86,1,0.69,0
2025-06-03,Russas,Tráfego,Vídeo 2,67,1,0.74,0
2025-06-03,Russas,Tráfego,Vídeo 3,54,0,0.0,0
2025-06-03,Russas,Tráfego,Imagem 1,46,0,0.0,0
2025-06-03,Russas,Tráfego,Imagem 2,44,0,0.0,0
2025-06-03,Russas,Engajamento,Vídeo 1,107,0,0.0,0
2025-06-03,Russas,Engajamento,Vídeo 2,118,1,1.44,0
2025-06-03,Russas,Engajamento,Vídeo 3,97,1,0.85,0
2025-06-03,Russas,Engajamento,Imagem 1,100,1,1.06,0
2025-06-03,Russas,Engajamento,Imagem 2,62,1,0.39,0
2025-06-03,Russas,Leads,Vídeo 1,54,0,0.0,0
2025-06-03,Russas,Leads,Vídeo 2,99,1,0.5,0
2025-06-03,Russas,Leads,Vídeo 3,68,1,0.92,0
2025-06-03,Russas,Leads,Imagem 1,127,1,0.94,0
2025-06-03,Russas,Leads,Imagem 2,68,0,0.0,0
2025-06-03,Beberibe,Alcance,Vídeo 1,39,0,0.0,0
2025-06-03,Beberibe,Alcance,Vídeo 2,44,0,0.0,0
2025-06-03,Beberibe,Alcance,Vídeo 3,115,0,0.0,0
2025-06-03,Beberibe,Alcance,Imagem 1,67,0,0.0,0
